notch,year,location_lei,quantile,controls,firms_in_window,b_diff,boot_se,missing_mass_above,b_spec_min,b_spec_max
"2014: micro €65,000",2014,291506,0.6756,"2016,2017,2022,2023,2024",33859,1.15,0.08,0.77,0.53,2.3
"2015: micro €65,000",2015,291336,0.6612,"2016,2017,2023,2024",34896,1.71,0.09,-0.39,0.79,3.67
"2016: micro €100,000",2016,452450,0.7311,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",32891,1.56,0.08,-0.25,0.71,3.47
"2017: micro €500,000",2017,2270550,0.9051,"2014,2015,2016,2018,2019,2020,2021,2025",17172,0.76,0.11,-0.26,0.32,1.65
"2018: micro €1,000,000",2018,4659700,0.9452,"2014,2015,2016,2017,2023,2024,2025",11424,1.41,0.14,-0.59,0.67,3.14
"2019: micro €1,000,000",2019,4663900,0.9445,"2014,2015,2016,2017,2023,2024,2025",13105,1.67,0.13,0.05,0.79,3.53
"2020: micro €1,000,000",2020,4779300,0.9476,"2014,2015,2016,2017,2023,2024,2025",12693,1.75,0.14,-0.01,0.77,3.91
"2021: micro €1,000,000",2021,4869400,0.942,"2014,2015,2016,2017,2023,2024,2025",14394,2.15,0.13,-0.08,0.98,4.87
"2022: micro €1,000,000",2022,4948100,0.9374,"2014,2015,2016,2017,2023,2024,2025",16448,1.92,0.13,-0.45,0.91,3.84
"2023: micro €500,000",2023,2473700,0.8937,"2014,2015,2016,2018,2019,2020,2021,2025",28379,2.99,0.11,-0.14,1.4,6.5
"2024: micro €500,000",2024,2487300,0.8921,"2014,2015,2016,2018,2019,2020,2021,2025",28619,1.62,0.1,-0.28,0.74,3.6
"2025: micro €250,000",2025,1243525,0.8173,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",37048,0.73,0.08,-0.06,0.33,1.46
"2022: announced-for-2023 €500,000",2022,2473700,0.8892,"2014,2015,2016,2018,2019,2020,2021,2025",24241,0.8,0.1,-0.13,0.35,1.68
"2025: next-year eligibility €100,000 (end-2024 rate)",2025,497410,0.6852,"2016,2017,2021,2022,2023,2024",55232,1.47,0.07,0.47,0.68,3.2
