notch,excess_firms_3pct,excess_share_3pct,excess_firms_5pct,excess_share_5pct,excess_firms_8pct,excess_share_8pct,firms_in_window
"2014: micro €65,000",932,2.75,986,2.91,931,2.75,33859
"2015: micro €65,000",1232,3.53,1526,4.37,1674,4.8,34896
"2016: micro €100,000",985,2.99,1321,4.02,1493,4.54,32891
"2017: micro €500,000",262,1.53,332,1.93,370,2.16,17172
"2018: micro €1,000,000",341,2.99,406,3.55,467,4.09,11424
"2019: micro €1,000,000",494,3.77,558,4.26,605,4.62,13105
"2020: micro €1,000,000",473,3.73,576,4.54,655,5.16,12693
"2021: micro €1,000,000",670,4.66,793,5.51,916,6.36,14394
"2022: micro €1,000,000",711,4.32,808,4.92,829,5.04,16448
"2023: micro €500,000",1850,6.52,2151,7.58,2388,8.41,28379
"2024: micro €500,000",945,3.3,1179,4.12,1339,4.68,28619
"2025: micro €250,000",588,1.59,690,1.86,697,1.88,37048
"2022: announced-for-2023 €500,000",359,1.48,494,2.04,531,2.19,24241
"2025: next-year eligibility €100,000 (end-2024 rate)",1616,2.93,2059,3.73,2278,4.12,55232
