notch,year,b,B_over_N_pct,hole_width_pct,median_margin_bunchers,tau,dt_avg_rate_change,elasticity,b_quantile_corrected
"2014: micro €65,000",2014,1.15,0.199,,0.16,0.03,0.0,,1.14
"2015: micro €65,000",2015,1.71,0.302,20.0,0.169,0.03,0.0,194.0,1.7
"2016: micro €100,000",2016,1.56,0.251,19.0,0.134,0.03,0.0,175.085,1.56
"2017: micro €500,000",2017,0.76,0.06,20.0,0.089,0.01,0.004,4.758,0.77
"2018: micro €1,000,000",2018,1.41,0.07,18.0,0.106,0.01,0.007,2.288,1.36
"2019: micro €1,000,000",2019,1.67,0.09,18.0,0.117,0.01,0.009,1.835,1.75
"2020: micro €1,000,000",2020,1.75,0.09,19.0,0.132,0.01,0.011,1.609,1.87
"2021: micro €1,000,000",2021,2.15,0.127,19.0,0.16,0.01,0.016,1.143,2.19
"2022: micro €1,000,000",2022,1.92,0.117,20.0,0.166,0.01,0.017,1.198,1.97
"2023: micro €500,000",2023,2.99,0.3,,0.2,0.01,0.022,,2.99
"2024: micro €500,000",2024,1.62,0.153,19.0,0.151,0.03,0.0,175.085,1.65
"2025: micro €250,000",2025,0.73,0.093,20.0,0.135,0.03,0.0,194.0,0.72
"2022: announced-for-2023 €500,000",2022,0.8,0.071,18.0,0.14,0.01,0.012,1.286,0.79
"2025: next-year eligibility €100,000 (end-2024 rate)",2025,1.47,0.279,20.0,0.234,0.03,0.007,2.622,1.47
