notch,b_base,b_win10,b_win15,b_win30,b_pre_only,b_post_only,b_loo_min,b_loo_max,jackknife_se,b_continuing,n_continuing
"2014: micro €65,000",1.15,0.74,0.99,0.78,,1.15,1.13,1.18,0.04,1.15,31696
"2015: micro €65,000",1.71,1.36,1.59,1.55,,1.71,1.69,1.72,0.02,1.71,30382
"2016: micro €100,000",1.56,1.23,1.43,1.7,1.3,1.63,1.54,1.64,0.08,1.45,29322
"2017: micro €500,000",0.76,0.62,0.76,0.79,0.62,0.85,0.73,0.79,0.05,0.72,16321
"2018: micro €1,000,000",1.41,1.2,1.29,1.46,1.44,1.37,1.38,1.43,0.04,1.35,11010
"2019: micro €1,000,000",1.67,1.27,1.56,1.87,1.64,1.7,1.63,1.71,0.06,1.58,12513
"2020: micro €1,000,000",1.75,1.35,1.59,1.93,1.64,1.9,1.71,1.83,0.09,1.67,11535
"2021: micro €1,000,000",2.15,1.59,1.96,2.39,2.23,2.04,2.1,2.2,0.08,2.08,13668
"2022: micro €1,000,000",1.92,1.58,1.78,2.15,1.82,2.05,1.87,1.97,0.09,1.77,14756
"2023: micro €500,000",2.99,2.19,2.64,3.35,3.02,2.82,2.97,3.02,0.05,2.8,26100
"2024: micro €500,000",1.62,1.26,1.44,1.78,1.64,1.52,1.58,1.64,0.04,1.58,24967
"2025: micro €250,000",0.73,0.57,0.67,0.78,0.73,,0.71,0.75,0.04,0.61,35470
"2022: announced-for-2023 €500,000",0.8,0.6,0.74,0.89,0.8,0.83,0.78,0.82,0.03,0.83,21379
"2025: next-year eligibility €100,000 (end-2024 rate)",1.47,1.02,1.33,1.11,1.47,,1.44,1.5,0.04,1.43,51879
