notch,b,n_controls,block_boot_se,block_boot_p2_5,block_boot_p97_5
"2014: micro €65,000",1.15,5,0.08,0.99,1.31
"2015: micro €65,000",1.71,4,0.08,1.54,1.87
"2016: micro €100,000",1.56,10,0.11,1.35,1.76
"2017: micro €500,000",0.76,8,0.12,0.55,0.99
"2018: micro €1,000,000",1.41,7,0.14,1.14,1.67
"2019: micro €1,000,000",1.67,7,0.14,1.39,1.94
"2020: micro €1,000,000",1.75,7,0.16,1.41,2.04
"2021: micro €1,000,000",2.15,7,0.15,1.86,2.42
"2022: micro €1,000,000",1.92,7,0.14,1.64,2.18
"2023: micro €500,000",2.99,8,0.11,2.78,3.2
"2024: micro €500,000",1.62,8,0.09,1.43,1.81
"2025: micro €250,000",0.73,11,0.08,0.57,0.88
"2022: announced-for-2023 €500,000",0.8,8,0.1,0.61,1.0
"2025: next-year eligibility €100,000 (end-2024 rate)",1.47,6,0.07,1.33,1.6
