notch,year,tau,margin_basis,margin,dt,dz_from_b_pct,e_from_b,dz_hole_pct,e_from_hole
"2014: micro €65,000",2014,0.03,median buncher margin,0.16,-0.0044,1.15,undefined (dt<=0),,undefined (dt<=0)
"2014: micro €65,000",2014,0.03,margin 20%,0.2,0.002,1.15,0.032,,hole not identified
"2015: micro €65,000",2015,0.03,median buncher margin,0.169,-0.003,1.71,undefined (dt<=0),20.0,undefined (dt<=0)
"2015: micro €65,000",2015,0.03,margin 20%,0.2,0.002,1.71,0.071,20.0,9.7
"2016: micro €100,000",2016,0.03,median buncher margin,0.134,-0.0086,1.56,undefined (dt<=0),19.0,undefined (dt<=0)
"2016: micro €100,000",2016,0.03,margin 20%,0.2,0.002,1.56,0.059,19.0,8.75
"2017: micro €500,000",2017,0.01,median buncher margin,0.089,0.0042,0.76,0.007,20.0,4.67
"2017: micro €500,000",2017,0.01,margin 20%,0.2,0.022,0.76,0.001,20.0,0.9
"2018: micro €1,000,000",2018,0.01,median buncher margin,0.106,0.007,1.41,0.014,18.0,2.3
"2018: micro €1,000,000",2018,0.01,margin 20%,0.2,0.022,1.41,0.004,18.0,0.73
"2019: micro €1,000,000",2019,0.01,median buncher margin,0.117,0.0087,1.67,0.016,18.0,1.84
"2019: micro €1,000,000",2019,0.01,margin 20%,0.2,0.022,1.67,0.006,18.0,0.73
"2020: micro €1,000,000",2020,0.01,median buncher margin,0.132,0.0111,1.75,0.014,19.0,1.61
"2020: micro €1,000,000",2020,0.01,margin 20%,0.2,0.022,1.75,0.007,19.0,0.81
"2021: micro €1,000,000",2021,0.01,median buncher margin,0.16,0.0156,2.15,0.015,19.0,1.15
"2021: micro €1,000,000",2021,0.01,margin 20%,0.2,0.022,2.15,0.01,19.0,0.81
"2022: micro €1,000,000",2022,0.01,median buncher margin,0.166,0.0166,1.92,0.011,20.0,1.2
"2022: micro €1,000,000",2022,0.01,margin 20%,0.2,0.022,1.92,0.008,20.0,0.9
"2023: micro €500,000",2023,0.01,median buncher margin,0.2,0.022,2.99,0.02,,hole not identified
"2023: micro €500,000",2023,0.01,margin 20%,0.2,0.022,2.99,0.02,,hole not identified
"2024: micro €500,000",2024,0.03,median buncher margin,0.151,-0.0058,1.62,undefined (dt<=0),19.0,undefined (dt<=0)
"2024: micro €500,000",2024,0.03,margin 20%,0.2,0.002,1.62,0.064,19.0,8.75
"2025: micro €250,000",2025,0.03,median buncher margin,0.135,-0.0084,0.73,undefined (dt<=0),20.0,undefined (dt<=0)
"2025: micro €250,000",2025,0.03,margin 20%,0.2,0.002,0.73,0.013,20.0,9.7
"2022: announced-for-2023 €500,000",2022,0.01,median buncher margin,0.14,0.0124,0.8,0.003,18.0,1.29
"2022: announced-for-2023 €500,000",2022,0.01,margin 20%,0.2,0.022,0.8,0.001,18.0,0.73
"2025: next-year eligibility €100,000 (end-2024 rate)",2025,0.03,median buncher margin,0.234,0.0074,1.47,0.014,20.0,2.61
"2025: next-year eligibility €100,000 (end-2024 rate)",2025,0.03,margin 20%,0.2,0.002,1.47,0.052,20.0,9.7
