design,year,n_treated,n_control,micro_share_T,micro_share_C,median_margin_T,median_margin_C,mean_margin_T,mean_margin_C,median_rev_T_keur,median_rev_C_keur,share_loss_T,share_loss_C,DiD_median_margin,DiD_mean_margin
"2018: (500k,1M] moved to micro vs (1M,2M]",2015,19155,11945,14.6,13.5,0.0539,0.0507,0.0657,0.0595,559,1108,12.0,11.4,-0.0032,-0.0039
"2018: (500k,1M] moved to micro vs (1M,2M]",2016,19155,11945,14.5,13.7,0.058,0.0541,0.0771,0.0713,628,1232,10.7,9.8,-0.0025,-0.0043
"2018: (500k,1M] moved to micro vs (1M,2M]",2017,19155,11945,26.8,15.2,0.06,0.0536,0.0858,0.0757,684,1351,10.3,9.8,0.0,0.0
"2018: (500k,1M] moved to micro vs (1M,2M]",2018,19155,11945,71.9,17.5,0.0637,0.0493,0.0816,0.063,728,1438,12.7,11.4,0.008,0.0085
"2018: (500k,1M] moved to micro vs (1M,2M]",2019,19155,11945,60.6,21.9,0.0622,0.0489,0.0697,0.0531,746,1466,13.7,13.0,0.0069,0.0065
"2018: (500k,1M] moved to micro vs (1M,2M]",2020,19155,11945,57.6,26.1,0.0607,0.0506,0.0428,0.0335,675,1342,17.9,17.2,0.0037,-0.0008
"2023: (500k,1M] lost micro vs (1M,2M]",2020,26002,15538,74.2,51.1,0.0984,0.077,0.1213,0.0954,462,912,12.6,11.2,-0.007,-0.0114
"2023: (500k,1M] lost micro vs (1M,2M]",2021,26002,15538,75.3,48.1,0.1187,0.0936,0.1547,0.1225,576,1090,8.0,7.1,-0.0033,-0.0051
"2023: (500k,1M] lost micro vs (1M,2M]",2022,26002,15538,74.9,36.1,0.1176,0.0892,0.1646,0.1273,696,1351,6.7,6.3,0.0,0.0
"2023: (500k,1M] lost micro vs (1M,2M]",2023,26002,15538,55.2,23.5,0.084,0.0669,0.1056,0.0832,676,1358,12.8,11.3,-0.0113,-0.0149
"2023: (500k,1M] lost micro vs (1M,2M]",2024,26002,15538,23.7,17.7,0.0643,0.0569,0.0761,0.0637,691,1381,16.4,14.3,-0.021,-0.0249
"2023: (500k,1M] lost micro vs (1M,2M]",2025,26002,15538,18.1,16.7,0.058,0.0535,0.0566,0.0515,686,1366,18.3,15.8,-0.0239,-0.0322
placebo: bands on 2019 revenue,2017,22903,12713,45.9,24.3,0.0735,0.0566,0.0997,0.0692,533,1099,11.7,11.3,-0.0147,-0.016
placebo: bands on 2019 revenue,2018,22903,12713,74.0,37.4,0.0824,0.0582,0.1181,0.0804,621,1249,10.2,10.1,-0.0074,-0.0088
placebo: bands on 2019 revenue,2019,22903,12713,70.8,26.4,0.0895,0.0579,0.1323,0.0858,692,1364,8.6,9.1,0.0,0.0
placebo: bands on 2019 revenue,2020,22903,12713,70.5,20.8,0.0785,0.0554,0.0912,0.0545,640,1270,14.3,14.2,-0.0085,-0.0098
placebo: bands on 2019 revenue,2021,22903,12713,66.3,28.7,0.0943,0.0663,0.1059,0.0711,718,1421,11.8,11.8,-0.0036,-0.0117
