year,section,name,firms_in_window,b,excess_firms,excess_share_pct,median_margin_bunchers
2021,A,Agriculture,1140,0.2,6,0.49,0.233
2021,C,Manufacturing,1763,1.08,50,2.86,0.121
2021,F,Construction,2072,2.88,154,7.41,0.214
2021,G,Trade,4582,2.14,245,5.35,0.109
2021,H,Transport,1209,2.49,73,6.07,0.102
2023,A,Agriculture,1653,0.39,17,1.03,0.08
2023,C,Manufacturing,3008,2.54,196,6.53,0.164
2023,F,Construction,4078,4.81,513,12.57,0.249
2023,G,Trade,8426,1.9,407,4.83,0.123
2023,H,Transport,2428,1.4,86,3.53,0.104
2023,I,Hospitality,1571,0.32,13,0.86,0.143
2023,J,Information and communication,1124,4.06,113,10.09,0.338
2023,L,Real estate,908,4.23,101,11.15,0.433
2023,M,Professional services,2068,5.71,305,14.77,0.392
2023,N,Administrative services,1089,5.29,144,13.27,0.286
2023,Q,Health,896,4.67,107,11.97,0.32
2025,A,Agriculture,1788,0.4,18,1.01,0.073
2025,C,Manufacturing,3136,0.78,60,1.92,0.063
2025,F,Construction,4864,1.22,152,3.12,0.207
2025,G,Trade,10220,0.12,31,0.31,0.064
2025,H,Transport,3085,-0.08,-6,-0.19,0.058
2025,I,Hospitality,1954,0.15,7,0.38,0.045
2025,J,Information and communication,1844,2.13,94,5.11,0.62
2025,L,Real estate,1439,1.31,50,3.47,0.315
2025,M,Professional services,3426,1.77,157,4.59,0.402
2025,N,Administrative services,1712,1.3,58,3.38,0.243
2025,Q,Health,1662,1.05,43,2.58,0.288
2025,R-S,"Arts, other services",978,0.63,16,1.68,0.101
