notch,control_year,matched_revenue_lei,nearest_notch_lei,distance_pct,admissible
"2014: micro €65,000",2015,320303,291336,9.0,False
"2014: micro €65,000",2016,324658,220000,32.2,True
"2014: micro €65,000",2017,330582,220000,33.5,True
"2014: micro €65,000",2018,348698,300000,14.0,False
"2014: micro €65,000",2019,363452,300000,17.5,False
"2014: micro €65,000",2020,342893,300000,12.5,False
"2014: micro €65,000",2021,395680,300000,24.2,False
"2014: micro €65,000",2022,435845,300000,31.2,True
"2014: micro €65,000",2023,464036,300000,35.3,True
"2014: micro €65,000",2024,469119,300000,36.1,True
"2014: micro €65,000",2025,478516,497410,3.9,False
"2015: micro €65,000",2014,271013,291506,7.6,False
"2015: micro €65,000",2016,297200,220000,26.0,True
"2015: micro €65,000",2017,301895,220000,27.1,True
"2015: micro €65,000",2018,318002,300000,5.7,False
"2015: micro €65,000",2019,332757,300000,9.8,False
"2015: micro €65,000",2020,314645,300000,4.7,False
"2015: micro €65,000",2021,362396,300000,17.2,False
"2015: micro €65,000",2022,399900,300000,25.0,False
"2015: micro €65,000",2023,426702,300000,29.7,True
"2015: micro €65,000",2024,432885,300000,30.7,True
"2015: micro €65,000",2025,444746,395000,11.2,False
"2016: micro €100,000",2014,419467,291506,30.5,True
"2016: micro €100,000",2015,466531,291336,37.6,True
"2016: micro €100,000",2017,475069,220000,53.7,True
"2016: micro €100,000",2018,501690,300000,40.2,True
"2016: micro €100,000",2019,521737,300000,42.5,True
"2016: micro €100,000",2020,491859,300000,39.0,True
"2016: micro €100,000",2021,567565,300000,47.1,True
"2016: micro €100,000",2022,623047,300000,51.8,True
"2016: micro €100,000",2023,656376,300000,54.3,True
"2016: micro €100,000",2024,657973,300000,54.4,True
"2016: micro €100,000",2025,664715,509850,23.3,False
"2017: micro €500,000",2014,2085783,291506,86.0,True
"2017: micro €500,000",2015,2250960,291336,87.1,True
"2017: micro €500,000",2016,2251864,452450,79.9,True
"2017: micro €500,000",2018,2423819,300000,87.6,True
"2017: micro €500,000",2019,2504895,4663900,86.2,True
"2017: micro €500,000",2020,2394853,300000,87.5,True
"2017: micro €500,000",2021,2802533,4869400,73.7,True
"2017: micro €500,000",2022,3050952,2473700,18.9,False
"2017: micro €500,000",2023,2867275,2473700,13.7,False
"2017: micro €500,000",2024,2943739,2487300,15.5,False
"2017: micro €500,000",2025,3127842,1243525,60.2,True
"2018: micro €1,000,000",2014,4194912,291506,93.1,True
"2018: micro €1,000,000",2015,4489344,291336,93.5,True
"2018: micro €1,000,000",2016,4442943,452450,89.8,True
"2018: micro €1,000,000",2017,4539665,2270550,50.0,True
"2018: micro €1,000,000",2019,4722908,4663900,1.2,False
"2018: micro €1,000,000",2020,4628253,4779300,3.3,False
"2018: micro €1,000,000",2021,5176012,4869400,5.9,False
"2018: micro €1,000,000",2022,5819964,4948100,15.0,False
"2018: micro €1,000,000",2023,5825793,2473700,57.5,True
"2018: micro €1,000,000",2024,5880961,2487300,57.7,True
"2018: micro €1,000,000",2025,6261318,1243525,80.1,True
"2019: micro €1,000,000",2014,4122637,291506,92.9,True
"2019: micro €1,000,000",2015,4413039,291336,93.4,True
"2019: micro €1,000,000",2016,4370423,452450,89.6,True
"2019: micro €1,000,000",2017,4464503,2270550,49.1,True
"2019: micro €1,000,000",2018,4613598,4659700,1.0,False
"2019: micro €1,000,000",2020,4567831,4779300,4.6,False
"2019: micro €1,000,000",2021,5091444,4869400,4.4,False
"2019: micro €1,000,000",2022,5722450,4948100,13.5,False
"2019: micro €1,000,000",2023,5728702,2473700,56.8,True
"2019: micro €1,000,000",2024,5785388,2487300,57.0,True
"2019: micro €1,000,000",2025,6159369,1243525,79.8,True
"2020: micro €1,000,000",2014,4423995,291506,93.4,True
"2020: micro €1,000,000",2015,4726337,291336,93.8,True
"2020: micro €1,000,000",2016,4685343,452450,90.3,True
"2020: micro €1,000,000",2017,4761311,2270550,52.3,True
