stat,event,year,horizon,DiD_pp,placebo_same_horizon_pp,corrected_pp,corrected_se_pp
median,2018 entry,2015,-2,0.09,-0.69,0.78,
median,2018 entry,2016,-1,0.16,-0.4,0.56,
median,2018 entry,2017,0,0.0,0.0,0.0,
median,2018 entry,2018,1,0.71,-0.16,0.87,0.28
median,2018 entry,2019,2,0.51,0.07,0.44,0.35
median,2018 entry,2020,3,0.48,,,
median,2023 exit,2020,-2,-0.06,-0.69,0.63,
median,2023 exit,2021,-1,0.07,-0.4,0.47,
median,2023 exit,2022,0,0.0,0.0,0.0,
median,2023 exit,2023,1,-0.95,-0.16,-0.79,0.34
median,2023 exit,2024,2,-1.62,0.07,-1.69,0.38
median,2023 exit,2025,3,-1.98,,,
median,placebo 2019,2017,-2,-0.69,-0.69,,
median,placebo 2019,2018,-1,-0.4,-0.4,,
median,placebo 2019,2019,0,0.0,0.0,,
median,placebo 2019,2020,1,-0.16,-0.16,,
median,placebo 2019,2021,2,0.07,0.07,,
mean,2018 entry,2015,-2,0.72,-0.73,1.45,
mean,2018 entry,2016,-1,0.35,-0.31,0.66,
mean,2018 entry,2017,0,0.0,0.0,0.0,
mean,2018 entry,2018,1,0.94,0.09,0.85,
mean,2018 entry,2019,2,0.69,-0.64,1.33,
mean,2018 entry,2020,3,0.6,,,
mean,2023 exit,2020,-2,-0.16,-0.73,0.56,
mean,2023 exit,2021,-1,-0.07,-0.31,0.24,
mean,2023 exit,2022,0,0.0,0.0,0.0,
mean,2023 exit,2023,1,-1.36,0.09,-1.44,
mean,2023 exit,2024,2,-2.51,-0.64,-1.87,
mean,2023 exit,2025,3,-3.04,,,
mean,placebo 2019,2017,-2,-0.73,-0.73,,
mean,placebo 2019,2018,-1,-0.31,-0.31,,
mean,placebo 2019,2019,0,0.0,0.0,,
mean,placebo 2019,2020,1,0.09,0.09,,
mean,placebo 2019,2021,2,-0.64,-0.64,,
