year,group,firms,median_margin,share_margin_above_6pct
2018,bunchers 0-5% below,1846,0.106,62.3
2018,just above 0-10%,2285,0.057,47.4
2018,10-25% below,5702,0.074,54.5
2019,bunchers 0-5% below,2231,0.117,64.9
2019,just above 0-10%,2709,0.07,53.1
2019,10-25% below,6516,0.09,59.1
2020,bunchers 0-5% below,2220,0.132,68.8
2020,just above 0-10%,2552,0.078,56.5
2020,10-25% below,6383,0.094,61.2
2021,bunchers 0-5% below,2637,0.16,74.5
2021,just above 0-10%,2877,0.097,62.7
2021,10-25% below,6961,0.122,67.0
2022,bunchers 0-5% below,2916,0.166,74.9
2022,just above 0-10%,3277,0.101,63.2
2022,10-25% below,8022,0.117,66.6
2023,bunchers 0-5% below,5744,0.2,75.7
2023,just above 0-10%,5570,0.098,60.5
2023,10-25% below,13182,0.124,65.8
2024,bunchers 0-5% below,4811,0.151,68.4
2024,just above 0-10%,5857,0.081,56.3
2024,10-25% below,13881,0.099,60.2
2025,bunchers 0-5% below,5425,0.135,64.2
2025,just above 0-10%,8205,0.093,57.8
2025,10-25% below,17635,0.101,59.0
