year,mult,location_lei,n_controls,firms,b,m
2014,0.45,131177,10,42440,0.135,-0.109
2014,0.6,174903,3,42707,-0.103,-0.071
2014,1.35,393532,9,29087,-0.037,-0.091
2014,1.6,466409,10,27751,0.095,-0.023
2014,2.0,583011,11,26056,0.1,0.133
2014,2.5,728764,10,24612,0.006,-0.125
2015,0.45,131101,11,43874,0.058,-0.002
2015,0.6,174802,5,46318,-0.229,-0.214
2015,1.35,393304,8,30202,-0.087,-0.019
2015,1.6,466138,9,29410,0.547,-0.088
2015,2.0,582673,10,27853,0.042,0.175
2015,2.5,728341,10,26532,0.159,-0.119
2016,0.75,339338,5,34409,-0.04,-0.074
2016,1.35,610808,11,27410,-0.047,0.182
2016,1.6,723920,10,26537,-0.035,0.154
2016,2.0,904900,10,24700,0.031,0.012
2016,2.5,1131125,10,22609,0.192,-0.106
2017,0.45,1021748,10,25513,-0.097,-0.098
2017,0.6,1362330,11,22377,-0.031,-0.028
2017,0.75,1702912,8,20155,-0.022,0.162
2017,1.35,3065242,10,13484,0.094,-0.067
2017,1.6,3632880,7,12088,0.018,-0.133
2017,2.0,4541100,6,10580,0.037,0.46
2017,2.5,5676375,8,8843,-0.324,-0.212
2018,0.45,2096865,7,19130,-0.162,0.07
2018,0.6,2795820,10,16113,0.167,0.047
2018,0.75,3494775,9,13896,0.197,-0.267
2018,1.35,6290595,10,8511,-0.074,0.038
2018,1.6,7455520,11,7519,0.097,-0.211
2018,2.0,9319400,11,6384,0.157,0.067
2018,2.5,11649250,11,5455,-0.009,-0.2
2019,0.45,2098755,7,21171,-0.008,0.251
2019,0.6,2798340,8,17343,-0.176,0.15
2019,0.75,3497925,9,15358,-0.144,-0.107
2019,1.35,6296265,10,8948,0.266,-0.077
2019,1.6,7462240,11,7977,-0.094,0.017
2019,2.0,9327800,11,6733,0.386,0.11
2019,2.5,11659750,11,5836,0.209,-0.032
2020,0.45,2150685,7,20742,-0.01,0.191
2020,0.6,2867580,10,17104,0.008,0.04
2020,0.75,3584475,8,15068,-0.068,0.105
2020,1.35,6452055,11,8683,0.031,0.185
2020,1.6,7646880,11,7754,-0.279,0.23
2020,2.0,9558600,11,6561,-0.004,0.005
2020,2.5,11948250,11,5578,0.007,0.151
2021,0.45,2191230,8,21686,0.006,0.086
2021,0.6,2921640,7,18472,-0.162,0.178
2021,0.75,3652050,9,16459,-0.039,-0.248
2021,1.35,6573690,8,9508,-0.007,-0.071
2021,1.6,7791040,11,8293,0.315,-0.154
2021,2.0,9738800,11,7012,0.267,0.127
2021,2.5,12173500,11,6067,-0.007,-0.048
2022,0.75,3711075,10,18577,-0.08,-0.099
2022,1.35,6679935,7,11604,0.036,0.179
2022,1.6,7916960,10,10122,-0.183,-0.292
2022,2.0,9896200,11,8335,0.03,0.1
2022,2.5,12370250,11,7076,-0.004,-0.081
2023,0.45,1113165,10,36206,-0.029,0.044
2023,0.6,1484220,10,32719,0.098,-0.015
2023,0.75,1855275,11,30384,0.113,-0.195
2023,1.35,3339495,10,18608,0.061,0.107
2023,1.6,3957920,10,16986,0.064,-0.159
2023,2.0,4947400,6,14740,-0.126,-0.064
2023,2.5,6184250,6,12524,-0.035,0.178
2024,0.45,1119285,10,39870,0.08,0.17
2024,0.6,1492380,10,34689,-0.185,-0.047
2024,0.75,1865475,11,31872,-0.146,0.044
2024,1.35,3357855,9,20830,0.017,-0.022
2024,1.6,3979680,10,18755,0.13,-0.017
2024,2.0,4974600,6,16305,-0.14,0.068
2024,2.5,6218250,6,13870,-0.201,0.171
2025,0.6,746115,10,43432,0.127,0.018
2025,0.75,932644,11,40588,-0.092,0.029
2025,1.35,1678759,11,30933,-0.036,0.106
2025,1.6,1989640,11,28569,-0.013,-0.119
2025,2.0,2487050,7,25486,0.046,0.027
2025,2.5,3108812,7,22214,0.11,-0.259
