year,bw,deg,excl,b,boot_se
2014,500.0,3,2,1.0126489550258257,
2014,500.0,3,3,1.2564055350318144,
2014,500.0,3,5,1.5279180355890132,
2014,500.0,5,2,1.1854559084636445,
2014,500.0,5,3,1.5389760507606773,
2014,500.0,5,5,2.069387520430388,
2014,500.0,7,2,1.3007989185060391,
2014,500.0,7,3,1.7639469449741043,
2014,500.0,7,5,2.6230457442974653,
2014,1000.0,3,2,0.4392257921445841,
2014,1000.0,3,3,0.37816287551022687,
2014,1000.0,3,5,0.2274640193488138,
2014,1000.0,5,2,0.6396062656102754,
2014,1000.0,5,3,0.6887086204607734,
2014,1000.0,5,5,0.8222774029481957,
2014,1000.0,7,2,0.8575889558923331,
2014,1000.0,7,3,1.0870779307295406,
2014,1000.0,7,5,1.9052259124363893,
2014,2000.0,3,2,0.16681983491518934,
2014,2000.0,3,3,0.04211605399403729,
2014,2000.0,3,5,-0.5700746952631738,
2014,2000.0,5,2,0.3835739194081879,
2014,2000.0,5,3,0.4002401730658788,
2014,2000.0,5,5,-0.16604960329403262,
2014,2000.0,7,2,0.7261375860860205,
2014,2000.0,7,3,1.225032823472744,
2014,2000.0,7,5,2.491114582710179,
2014,1000.0,5,3,0.6887086204607734,0.06291929631356885
2015,500.0,3,2,1.105475636432461,
2015,500.0,3,3,1.3373319715548253,
2015,500.0,3,5,1.5909016954623627,
2015,500.0,5,2,1.4278397034334673,
2015,500.0,5,3,1.825784453109913,
2015,500.0,5,5,2.4383198363552325,
2015,500.0,7,2,1.7526026041784901,
2015,500.0,7,3,2.3822654308284488,
2015,500.0,7,5,3.636714610527917,
2015,1000.0,3,2,0.4227198480981591,
2015,1000.0,3,3,0.40923853834975255,
2015,1000.0,3,5,0.1966320172320271,
2015,1000.0,5,2,0.7307516418372461,
2015,1000.0,5,3,0.8875094474557458,
2015,1000.0,5,5,1.0557673265360987,
2015,1000.0,7,2,1.1806847291147473,
2015,1000.0,7,3,1.731525393190466,
2015,1000.0,7,5,3.336385716534291,
2015,2000.0,3,2,0.15911203061767742,
2015,2000.0,3,3,0.00508433364245971,
2015,2000.0,3,5,-0.8602597985866037,
2015,2000.0,5,2,0.46788938374865524,
2015,2000.0,5,3,0.49202402295881126,
2015,2000.0,5,5,-0.47973047812186037,
2015,2000.0,7,2,1.158904985811317,
2015,2000.0,7,3,2.2105699695691072,
2015,2000.0,7,5,4.540572015808499,
2015,1000.0,5,3,0.8875094474557458,0.06028051837926728
2016,1000.0,3,2,1.063792157781931,
2016,1000.0,3,3,1.4391317092386848,
2016,1000.0,3,5,1.9839575736869812,
2016,1000.0,5,2,1.0030222730541147,
2016,1000.0,5,3,1.361232538527044,
2016,1000.0,5,5,1.888836143745251,
2016,1000.0,7,2,0.9408296213303606,
2016,1000.0,7,3,1.280349064805864,
2016,1000.0,7,5,1.7929427355171847,
2016,2000.0,3,2,0.8879000079310249,
2016,2000.0,3,3,1.0587990468282407,
2016,2000.0,3,5,1.2436400342175555,
2016,2000.0,5,2,0.8442089333683062,
2016,2000.0,5,3,0.9999725079469942,
2016,2000.0,5,5,1.1660632285523038,
2016,2000.0,7,2,0.7988458738443324,
2016,2000.0,7,3,0.9401932432817093,
2016,2000.0,7,5,1.0931884285400886,
2016,4000.0,3,2,0.3457258312457044,
2016,4000.0,3,3,0.43744504287589464,
2016,4000.0,3,5,0.47639256573186484,
2016,4000.0,5,2,0.31138278987163726,
2016,4000.0,5,3,0.4168810799436194,
2016,4000.0,5,5,0.5004283586648888,
2016,4000.0,7,2,0.2863090168667239,
2016,4000.0,7,3,0.44156303864460994,
2016,4000.0,7,5,1.0160258694905642,
2016,2000.0,5,3,0.9999725079469942,0.05992179669888224
2017,5000.0,3,2,0.5148915293986167,
2017,5000.0,3,3,0.7487891887826025,
2017,5000.0,3,5,0.9765210973149973,
2017,5000.0,5,2,0.46236758385686116,
2017,5000.0,5,3,0.6731789526998573,
2017,5000.0,5,5,0.8520749531501911,
2017,5000.0,7,2,0.45248537993298954,
2017,5000.0,7,3,0.6653306901857228,
2017,5000.0,7,5,0.8500734645144862,
2017,10000.0,3,2,0.4138021857869385,
2017,10000.0,3,3,0.527170435847314,
2017,10000.0,3,5,0.6563414528365081,
2017,10000.0,5,2,0.3601777951369675,
2017,10000.0,5,3,0.4524679115832007,
2017,10000.0,5,5,0.5231384664607848,
2017,10000.0,7,2,0.35786565695709255,
2017,10000.0,7,3,0.4657084633521021,
2017,10000.0,7,5,0.5796093582772202,
2017,20000.0,3,2,0.19828675393275985,
2017,20000.0,3,3,0.1649129532617891,
2017,20000.0,3,5,0.29564966195536,
2017,20000.0,5,2,0.13181734239983792,
2017,20000.0,5,3,0.005785616786320795,
2017,20000.0,5,5,-0.16155079564998606,
2017,20000.0,7,2,0.19218924718971797,
2017,20000.0,7,3,0.047593295901159814,
2017,20000.0,7,5,-0.36151852545278473,
2017,10000.0,5,3,0.4524679115832007,0.07532894762009393
2018,10000.0,3,2,1.1174036461461132,
2018,10000.0,3,3,1.435148808570433,
2018,10000.0,3,5,1.746611175307575,
2018,10000.0,5,2,1.0224692355073917,
2018,10000.0,5,3,1.3009170681438946,
2018,10000.0,5,5,1.5345814400940214,
2018,10000.0,7,2,0.9889161716330562,
2018,10000.0,7,3,1.2528956486638938,
2018,10000.0,7,5,1.450971404192054,
2018,20000.0,3,2,0.8176110959001128,
2018,20000.0,3,3,0.9629008179319342,
2018,20000.0,3,5,1.145057432540569,
2018,20000.0,5,2,0.7349569743685934,
2018,20000.0,5,3,0.8426804601667228,
2018,20000.0,5,5,0.9602493640533952,
2018,20000.0,7,2,0.6977362566179844,
2018,20000.0,7,3,0.781704859958683,
2018,20000.0,7,5,0.8549522002628128,
2018,40000.0,3,2,0.2947233790169704,
2018,40000.0,3,3,0.4504549893804333,
2018,40000.0,3,5,0.42828174095915283,
2018,40000.0,5,2,0.2155831092187008,
2018,40000.0,5,3,0.3824614384206013,
2018,40000.0,5,5,0.21220866948684294,
2018,40000.0,7,2,0.18632839054060898,
2018,40000.0,7,3,0.4604572680914851,
2018,40000.0,7,5,0.6129650751602881,
2018,20000.0,5,3,0.8426804601667228,0.10241833715574766
2019,10000.0,3,2,1.534135694695357,
2019,10000.0,3,3,1.9368503433945823,
2019,10000.0,3,5,2.3876281946628266,
2019,10000.0,5,2,1.35183900497642,
2019,10000.0,5,3,1.69104154250752,
2019,10000.0,5,5,1.9954130459275357,
2019,10000.0,7,2,1.3144415596056642,
2019,10000.0,7,3,1.6635786167192876,
2019,10000.0,7,5,1.976070382626622,
2019,20000.0,3,2,1.0679793569054121,
2019,20000.0,3,3,1.281795630418648,
2019,20000.0,3,5,1.5702448145885244,
2019,20000.0,5,2,0.913280048820087,
2019,20000.0,5,3,1.0529950984953313,
2019,20000.0,5,5,1.1714860128338227,
2019,20000.0,7,2,0.8891751743608399,
2019,20000.0,7,3,1.0310682231619044,
2019,20000.0,7,5,1.1717652994172256,
2019,40000.0,3,2,0.39153071137050305,
2019,40000.0,3,3,0.4604704563266259,
2019,40000.0,3,5,0.8280457138490721,
2019,40000.0,5,2,0.253054662552715,
2019,40000.0,5,3,0.21330094837246705,
2019,40000.0,5,5,0.4367593247640062,
2019,40000.0,7,2,0.2548733451287656,
2019,40000.0,7,3,0.18944199616928195,
2019,40000.0,7,5,0.9607892774238102,
2019,20000.0,5,3,1.0529950984953313,0.0930138534283198
2020,10000.0,3,2,1.5102846021246674,
2020,10000.0,3,3,1.998497296643228,
2020,10000.0,3,5,2.5240393374322685,
2020,10000.0,5,2,1.3406705973580741,
2020,10000.0,5,3,1.7721644909996415,
2020,10000.0,5,5,2.166588329283997,
2020,10000.0,7,2,1.314505406347088,
2020,10000.0,7,3,1.7674564835148512,
2020,10000.0,7,5,2.193723317178322,
2020,20000.0,3,2,1.0863596516986882,
2020,20000.0,3,3,1.3703619192613448,
2020,20000.0,3,5,1.616173178404229,
2020,20000.0,5,2,0.9340579144846695,
2020,20000.0,5,3,1.1475067042199478,
2020,20000.0,5,5,1.220589196862252,
2020,20000.0,7,2,0.9347013492577608,
2020,20000.0,7,3,1.1768120024196422,
2020,20000.0,7,5,1.3232170651461352,
2020,40000.0,3,2,0.41929126150937934,
2020,40000.0,3,3,0.5215435323486369,
2020,40000.0,3,5,0.7679519717101492,
2020,40000.0,5,2,0.286750040513861,
2020,40000.0,5,3,0.3066281721245502,
2020,40000.0,5,5,0.3444258391012832,
2020,40000.0,7,2,0.3095824709739561,
2020,40000.0,7,3,0.39191125972641555,
2020,40000.0,7,5,1.1634159650425264,
2020,20000.0,5,3,1.1475067042199478,0.09926835817432762
2021,10000.0,3,2,1.8437633196682812,
2021,10000.0,3,3,2.359962613433856,
2021,10000.0,3,5,2.9975962476083953,
2021,10000.0,5,2,1.651069013887393,
2021,10000.0,5,3,2.097321683577704,
2021,10000.0,5,5,2.591436545167001,
2021,10000.0,7,2,1.5952042747835915,
2021,10000.0,7,3,2.035591573547056,
2021,10000.0,7,5,2.5188456974113254,
2021,20000.0,3,2,1.3058285345854888,
2021,20000.0,3,3,1.6334784738268784,
2021,20000.0,3,5,1.9795091944628096,
2021,20000.0,5,2,1.1330951409254992,
2021,20000.0,5,3,1.3946307996308394,
2021,20000.0,5,5,1.5755179347837707,
2021,20000.0,7,2,1.0956236819562273,
2021,20000.0,7,3,1.373024943846854,
2021,20000.0,7,5,1.5854290811298999,
2021,40000.0,3,2,0.5161861837349112,
2021,40000.0,3,3,0.6477923629636289,
2021,40000.0,3,5,0.8910468029981635,
2021,40000.0,5,2,0.36920029147149525,
2021,40000.0,5,3,0.4225677016938647,
2021,40000.0,5,5,0.454656456896706,
2021,40000.0,7,2,0.39060785980661344,
2021,40000.0,7,3,0.5365332177631792,
2021,40000.0,7,5,1.5642438066503654,
2021,20000.0,5,3,1.3946307996308394,0.08777805154659024
2022,10000.0,3,2,1.6482853498015981,
2022,10000.0,3,3,2.1534713734550306,
2022,10000.0,3,5,2.630137737593498,
2022,10000.0,5,2,1.4415644207938334,
2022,10000.0,5,3,1.868252950235366,
2022,10000.0,5,5,2.1734951127407065,
2022,10000.0,7,2,1.4395959688987017,
2022,10000.0,7,3,1.8972104479868255,
2022,10000.0,7,5,2.252069120791121,
2022,20000.0,3,2,1.2020960135041665,
2022,20000.0,3,3,1.3727579612092595,
2022,20000.0,3,5,1.5750543830722419,
2022,20000.0,5,2,1.0209523063327355,
2022,20000.0,5,3,1.104472194232082,
2022,20000.0,5,5,1.0706749673920275,
2022,20000.0,7,2,1.0326237080540481,
2022,20000.0,7,3,1.136505912090359,
2022,20000.0,7,5,1.121194498617789,
2022,40000.0,3,2,0.3695876179831114,
2022,40000.0,3,3,0.49480202537538465,
2022,40000.0,3,5,0.9554326156594509,
2022,40000.0,5,2,0.19251387376629744,
2022,40000.0,5,3,0.1877283562007588,
2022,40000.0,5,5,0.4884454618799316,
2022,40000.0,7,2,0.1981302924310538,
2022,40000.0,7,3,0.19716298136413732,
2022,40000.0,7,5,2.131629818312189,
2022,20000.0,5,3,1.104472194232082,0.08838751007310808
2023,5000.0,3,2,2.605627250572118,
2023,5000.0,3,3,3.198648543117604,
2023,5000.0,3,5,3.9400187984374098,
2023,5000.0,5,2,2.397914675688752,
2023,5000.0,5,3,2.9375048129834056,
