year,b_baseline,b_min,b_max,b_median,boot_se,threshold
2014,0.689,-0.57,2.623,0.84,0.063,65000
2015,0.888,-0.86,4.541,1.132,0.06,65000
2016,1.0,0.286,1.984,1.0,0.06,100000
2017,0.452,-0.362,0.977,0.452,0.075,500000
2018,0.843,0.186,1.747,0.843,0.102,1000000
2019,1.053,0.189,2.388,1.06,0.093,1000000
2020,1.148,0.287,2.524,1.17,0.099,1000000
2021,1.395,0.369,2.998,1.479,0.088,1000000
2022,1.104,0.188,2.63,1.129,0.088,1000000
2023,1.967,0.358,3.94,1.919,0.082,500000
2024,0.951,0.234,1.998,0.951,0.062,500000
2025,0.44,0.101,1.013,0.445,0.051,250000
