year,threshold,group,firms,pct_sib_new,pct_any_sib,mean_n_sib,pct_addr_new
2015,65000,bunchers (0-5% below),5643,1.47,11.66,0.411,7.3
2015,65000,control (10-25% below),16558,1.39,10.38,0.432,6.05
2015,65000,just above (0-10%),6749,1.29,10.65,0.454,5.38
2015,65000,well above (25-100%),31158,1.42,10.97,0.478,5.14
2016,100000,bunchers (0-5% below),5184,1.62,11.63,0.413,7.02
2016,100000,control (10-25% below),14177,1.23,10.27,0.389,5.88
2016,100000,just above (0-10%),6401,1.16,10.03,0.436,4.66
2016,100000,well above (25-100%),28208,1.32,11.15,0.448,4.97
2017,500000,bunchers (0-5% below),2291,1.79,16.06,0.438,7.16
2017,500000,control (10-25% below),7795,1.63,14.3,0.548,6.3
2017,500000,just above (0-10%),3335,1.95,15.44,0.596,6.6
2017,500000,well above (25-100%),12628,1.96,17.3,0.606,6.84
2018,1000000,bunchers (0-5% below),1700,3.0,20.76,0.592,8.12
2018,1000000,control (10-25% below),5159,1.61,18.03,0.563,7.15
2018,1000000,just above (0-10%),2056,1.61,17.07,0.496,6.96
2018,1000000,well above (25-100%),7796,2.33,20.24,0.686,7.59
2019,1000000,bunchers (0-5% below),2061,3.44,20.57,0.591,11.5
2019,1000000,control (10-25% below),6000,2.02,17.3,0.448,8.07
2019,1000000,just above (0-10%),2453,2.41,18.3,0.558,8.19
2019,1000000,well above (25-100%),8350,1.94,19.16,0.561,7.92
2020,1000000,bunchers (0-5% below),2068,3.14,18.47,0.518,9.04
2020,1000000,control (10-25% below),5918,1.66,16.59,0.436,7.38
2020,1000000,just above (0-10%),2369,1.56,17.43,0.457,7.51
2020,1000000,well above (25-100%),8110,1.85,19.01,0.548,6.66
2021,1000000,bunchers (0-5% below),2484,2.94,18.52,0.474,12.24
2021,1000000,control (10-25% below),6515,1.78,16.13,0.447,8.09
2021,1000000,just above (0-10%),2641,2.2,18.14,0.44,8.9
2021,1000000,well above (25-100%),8842,1.98,18.29,0.481,7.84
2022,1000000,bunchers (0-5% below),2784,2.8,17.53,0.388,12.9
2022,1000000,control (10-25% below),7583,2.15,15.38,0.371,10.37
2022,1000000,just above (0-10%),3078,2.6,15.76,0.452,10.23
2022,1000000,well above (25-100%),10794,2.03,17.65,0.445,9.13
2023,500000,bunchers (0-5% below),5567,2.03,13.31,0.283,14.59
2023,500000,control (10-25% below),12712,1.35,11.7,0.251,9.61
2023,500000,just above (0-10%),5349,1.63,12.58,0.294,10.77
2023,500000,well above (25-100%),18574,1.63,14.36,0.334,9.45
2024,500000,bunchers (0-5% below),4687,1.37,11.48,0.225,9.49
2024,500000,control (10-25% below),13402,1.17,11.82,0.252,8.14
2024,500000,just above (0-10%),5631,1.42,11.83,0.245,7.94
2024,500000,well above (25-100%),20728,1.4,13.37,0.296,8.19
2025,250000,bunchers (0-5% below),5333,1.86,10.13,0.18,9.06
2025,250000,control (10-25% below),17297,1.23,8.7,0.168,7.27
2025,250000,just above (0-10%),8047,1.39,9.48,0.189,7.78
2025,250000,well above (25-100%),32115,1.52,11.11,0.22,7.42
