notch,controls_25,controls_35,b_25,b_35,dropped
"2014: micro €65,000",5,2,1.15,1.07,"2016,2017,2022"
"2015: micro €65,000",4,0,1.71,,"2016,2017,2023,2024"
"2016: micro €100,000",10,9,1.56,1.55,2014
"2017: micro €500,000",8,8,0.76,0.76,
"2018: micro €1,000,000",7,7,1.41,1.41,
"2019: micro €1,000,000",7,7,1.67,1.67,
"2020: micro €1,000,000",7,7,1.75,1.75,
"2021: micro €1,000,000",7,7,2.15,2.15,
"2022: micro €1,000,000",7,7,1.92,1.92,
"2023: micro €500,000",8,8,2.99,2.99,
"2024: micro €500,000",8,8,1.62,1.62,
"2025: micro €250,000",11,11,0.73,0.73,
"2022: announced-for-2023 €500,000",8,8,0.8,0.8,
"2025: next-year eligibility €100,000 (end-2024 rate)",6,4,1.47,1.43,"2016,2021"
